Id,Composition,Phases present,Hardness (HVN),Yield Strength (MPa),Ultimate Tensile Strength (MPa),Elongation (%),Compressive strength (MPa),Plasticity (%) - Compressive,Note on any unqiue processing or data features,Source,FCC,BCC,HCP,IM,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Ge,Hf,Li,Mg,Mn,Mo,N,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr
929,AlCuNiFeTi,BCC,1142.857,,,,3620,3.04,Pressure sintered,https://doi.org/10.1007/s11106-016-9790-3,0,1,0,0,0,0.2,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0
928,AlCuNiFeCr,BCC,938.7755,,,,3220,2.36,Pressure sintered,https://doi.org/10.1007/s11106-016-9790-3,0,1,0,0,0,0.2,0,0,0,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
357,CoCrCu0.1FeMoNi,FCC+BCC,,,,,3012,51.6,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1,1,0,0,0,0,0,0,0,0.196,0.196,0.02,0.196,0,0,0,0,0,0,0.196,0,0,0,0.196,0,0,0,0,0,0,0,0,0,0,0,0
364,AlCoCrCuFeNiMo0.6,FCC+BCC+α,,,,,2820,1.4,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1,1,0,1,0,0.152,0,0,0,0.152,0.152,0.152,0.152,0,0,0,0,0,0,0.091,0,0,0,0.152,0,0,0,0,0,0,0,0,0,0,0,0
363,AlCoCrCuFeNiMo0.4,FCC+BCC+α,,,,,2660,1.5,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1,1,0,1,0,0.156,0,0,0,0.156,0.156,0.156,0.156,0,0,0,0,0,0,0.062,0,0,0,0.156,0,0,0,0,0,0,0,0,0,0,0,0
365,AlCoCrCuFeNiMo0.2,FCC+BCC+α,,,,,2640,1.2,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1,1,0,1,0,0.161,0,0,0,0.161,0.161,0.161,0.161,0,0,0,0,0,0,0.032,0,0,0,0.161,0,0,0,0,0,0,0,0,0,0,0,0
524,AlCuFeMnTiV,FCC,618.44,,,,2630,15.83,Sintering temperature 1050°C,https://doi.org/10.1016/j.jallcom.2021.163352,1,0,0,0,0,0.167,0,0,0,0,0,0.167,0.167,0,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0,0,0,0
366,AlCoCrCuFeNiMo0.8,FCC+BCC+α,,,,,2600,1.1,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1,1,0,1,0,0.147,0,0,0,0.147,0.147,0.147,0.147,0,0,0,0,0,0,0.118,0,0,0,0.147,0,0,0,0,0,0,0,0,0,0,0,0
523,AlCuFeMnTiV,FCC,610.28,,,,2465,12.33,Sintering temperature 1000°C,https://doi.org/10.1016/j.jallcom.2021.163352,1,0,0,0,0,0.167,0,0,0,0,0,0.167,0.167,0,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0,0,0,0
522,AlCuFeMnTiV,FCC,597.81,,,,2420,13.42,Sintering temperature 950°C,https://doi.org/10.1016/j.jallcom.2021.163352,1,0,0,0,0,0.167,0,0,0,0,0,0.167,0.167,0,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0,0,0,0
362,AlCoCrCuFeNiMo0.2,FCC,,,,,2240,3.5,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1,0,0,0,0,0.161,0,0,0,0.161,0.161,0.161,0.161,0,0,0,0,0,0,0.032,0,0,0,0.161,0,0,0,0,0,0,0,0,0,0,0,0
639,TiZrHfNiCuCo,BCC+Laves,,,,,2091,2.26,room temperature under compressive mode at a strain rate of 1×10-3/s,dx.doi.org/10.1007/s12540-016-6034-5,0,1,0,1,0,0,0,0,0,0.167,0,0.167,0,0,0,0.167,0,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0.167,0,0,0,0,0.167
360,CoCrCu0.8FeMoNi,FCC1+FCC2+BCC,,,,,1970,18,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1,1,0,0,0,0,0,0,0,0.172,0.172,0.138,0.172,0,0,0,0,0,0,0.172,0,0,0,0.172,0,0,0,0,0,0,0,0,0,0,0,0
638,TiZrHfNiCu,Laves,,,,,1924,0.39,room temperature under compressive mode at a strain rate of 1×10-3/s,dx.doi.org/10.1007/s12540-016-6034-5,0,0,0,1,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0.2
359,CoCrCu0.5FeMoNi,FCC1+FCC2+BCC,,,,,1900,20,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1,1,0,0,0,0,0,0,0,0.182,0.182,0.091,0.182,0,0,0,0,0,0,0.182,0,0,0,0.182,0,0,0,0,0,0,0,0,0,0,0,0
