Hardness (HVN),Compressive strength (MPa),Plasticity (%) - Compressive,FCC,BCC,HCP,IM,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Ge,Hf,Li,Mg,Mn,Mo,N,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr,Processing_Temperature_C,Processing_Temperature_K,Total_Composition,Num_Elements,Cu_Content,Fe_Content,Cu_Fe_Ratio,Num_Phases,Num_Crystal_Structures,Method_Other,Method_Unknown,Method_annealing,Method_arc_melting,Method_as_cast,Method_room_temperature,Method_sintering,Has_FCC_Phase,Has_BCC_Phase,Has_HCP_Phase,Has_IM_Phase,Source
1142.857,3620.0,3.04,0,1,0,0,0,0.2,0.0,0,0,0.0,0.0,0.2,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0,0,0,0.0,0.0,0,0.2,0.0,0,0.0,0.0,0.0,499.85,773.0,1.0,5,0.2,0.2,1.0,1.0,1,False,False,False,False,False,False,True,0,1,0,0,https://doi.org/10.1007/s11106-016-9790-3
938.7755,3220.0,2.36,0,1,0,0,0,0.2,0.0,0,0,0.0,0.2,0.2,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,499.85,773.0,1.0,5,0.2,0.2,1.0,1.0,1,False,False,False,False,False,False,True,0,1,0,0,https://doi.org/10.1007/s11106-016-9790-3
410.0,3012.0,51.6,1,1,0,0,0,0.0,0.0,0,0,0.196,0.196,0.02,0.196,0,0,0.0,0.0,0.0,0.0,0.196,0.0,0.0,0,0.196,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,499.85,773.0,1.0,6,0.02,0.196,0.10204081632653061,2.0,2,False,False,False,True,False,False,False,1,1,0,0,https://doi.org/10.1016/j.vacuum.2020.109173
410.0,2820.0,1.4,1,1,0,1,0,0.152,0.0,0,0,0.152,0.152,0.152,0.152,0,0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0,0.152,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,499.85,773.0,1.003,7,0.152,0.152,1.0,3.0,3,False,False,False,True,False,False,False,1,1,0,0,https://doi.org/10.1016/j.vacuum.2020.109173
410.0,2660.0,1.5,1,1,0,1,0,0.156,0.0,0,0,0.156,0.156,0.156,0.156,0,0,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0,0.156,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,499.85,773.0,0.9980000000000001,7,0.156,0.156,1.0,3.0,3,False,False,False,True,False,False,False,1,1,0,0,https://doi.org/10.1016/j.vacuum.2020.109173
410.0,2640.0,1.2,1,1,0,1,0,0.161,0.0,0,0,0.161,0.161,0.161,0.161,0,0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0,0.161,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,499.85,773.0,0.9980000000000001,7,0.161,0.161,1.0,3.0,3,False,False,False,True,False,False,False,1,1,0,0,https://doi.org/10.1016/j.vacuum.2020.109173
618.44,2630.0,15.83,1,0,0,0,0,0.167,0.0,0,0,0.0,0.0,0.167,0.167,0,0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.167,0.167,0,0.0,0.0,0.0,1050.0,1323.15,1.002,6,0.167,0.167,1.0,1.0,1,False,False,False,False,False,False,True,1,0,0,0,https://doi.org/10.1016/j.jallcom.2021.163352
410.0,2600.0,1.1,1,1,0,1,0,0.147,0.0,0,0,0.147,0.147,0.147,0.147,0,0,0.0,0.0,0.0,0.0,0.118,0.0,0.0,0,0.147,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,499.85,773.0,1.0,7,0.147,0.147,1.0,3.0,3,False,False,False,True,False,False,False,1,1,0,0,https://doi.org/10.1016/j.vacuum.2020.109173
610.28,2465.0,12.33,1,0,0,0,0,0.167,0.0,0,0,0.0,0.0,0.167,0.167,0,0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.167,0.167,0,0.0,0.0,0.0,1000.0,1273.15,1.002,6,0.167,0.167,1.0,1.0,1,False,False,False,False,False,False,True,1,0,0,0,https://doi.org/10.1016/j.jallcom.2021.163352
597.81,2420.0,13.42,1,0,0,0,0,0.167,0.0,0,0,0.0,0.0,0.167,0.167,0,0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.167,0.167,0,0.0,0.0,0.0,950.0,1223.15,1.002,6,0.167,0.167,1.0,1.0,1,False,False,False,False,False,False,True,1,0,0,0,https://doi.org/10.1016/j.jallcom.2021.163352
410.0,2240.0,3.5,1,0,0,0,0,0.161,0.0,0,0,0.161,0.161,0.161,0.161,0,0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0,0.161,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,499.85,773.0,0.9980000000000001,7,0.161,0.161,1.0,1.0,1,False,False,False,True,False,False,False,1,0,0,0,https://doi.org/10.1016/j.vacuum.2020.109173
