Feature,Correlation,Importance,F_Score,Composite_Score
Hardness (HVN),0.5759722354337846,0.18726198877876724,51.13255169376772,0.5476964661416422
BCC,0.4953130430849335,0.07449580497362761,33.48440228918349,0.37484870645807566
Has_BCC_Phase,0.4953130430849335,0.0704033826638861,33.48440228918349,0.37321173753417913
Method_Unknown,0.4353311978933292,0.11945684372584867,24.08412597279351,0.31968616936209127
Compressive strength (MPa),1.0,0.0,0.0,0.3
Method_arc_melting,0.4157418688923677,0.03321240245727136,21.522658339959314,0.2642831970884003
Mo,0.34813832432687053,0.04480592982317798,14.205318986515636,0.2057079534709144
Plasticity (%) - Compressive,0.3288152328022181,0.054910019830471425,12.486318034046755,0.19386710460421874
Method_sintering,0.31522249170909505,0.008276211084154174,11.363782306493787,0.1645497248891521
Num_Elements,0.3039829785281663,0.012274300534629155,10.486823865904176,0.1576319003159674
Num_Phases,0.2860017598218968,0.007466530098610946,9.175630816649132,0.1426215205090228
Num_Crystal_Structures,0.27827016729049353,0.011898601256902118,8.645163523205758,0.1389625644188803
Cu_Fe_Ratio,0.2702199008316254,0.016684407910592607,8.113363920235322,0.1353416835500654
V,0.25532967682286056,0.014117469480325037,7.1832002434595585,0.12439047392069902
Zn,0.2561255210036647,0.0023742136464395083,7.2311977112043895,0.12021353097772139
Has_FCC_Phase,0.24780294842953898,0.004486661361607569,6.73864424746746,0.11567187588049721
Ni,0.23139290120688774,0.03598921574129277,0.0,0.08381355665858342
Fe_Content,0.23657974139131333,0.01613597284493622,0.0,0.07742831155536847
FCC,0.24780294842953898,0.005367998229538824,0.0,0.07648808382067722
Fe,0.23657974139131333,0.011034346434978833,0.0,0.07538766099138552
Cu_Content,0.2156769827251487,0.01870241487885655,0.0,0.07218406076908722
Cu,0.2156769827251487,0.014328428785201047,0.0,0.07043446633162502
Processing_Temperature_C,0.17530943692457965,0.01692530909045486,0.0,0.059362954713555835
Total_Composition,0.07909549152758089,0.08642325301482455,0.0,0.05829794866420408
Processing_Temperature_K,0.17530943692457973,0.014221810913547633,0.0,0.058281555442792975
Has_IM_Phase,0.1797670733934424,0.0010205228530040947,0.0,0.05433833115923436
Mn,0.17487044012634742,0.0011896952271322461,0.0,0.05293701012875712
Mg,0.16632440009071062,0.001394085136817251,0.0,0.05045495408194008
Hf,0.1495350989251515,0.003477224042332284,0.0,0.04625141929447836
Zr,0.14474035882028416,0.006659871681538771,0.0,0.04608605631870076
Method_room_temperature,0.14898487498309249,0.0026940616072146308,0.0,0.0457730871378136
Method_as_cast,0.1504009570871459,0.00012003390755442745,0.0,0.04516830068916554
Sn,0.14143047890709062,0.0001687082640128539,0.0,0.04249662697773232
Si,0.1237256352405355,0.0045754549993776645,0.0,0.038947872571911714
Ti,0.11052088407433719,0.012750803792974082,0.0,0.03825658673949078
Li,0.11333470849515016,9.719629036903053e-05,0.0,0.03403929106469266
Cr,0.05029199957214477,0.03384371057109868,0.0,0.028625084100082902
IM,0.08487591546636647,0.0015147153137706555,0.0,0.026068660765418205
Al,0.02273770605623399,0.03834267779174903,0.0,0.02215838293356981
HCP,0.058151594073138975,0.00010237334028235492,0.0,0.017486427558054633
Has_HCP_Phase,0.058151594073138975,1.4550056445256487e-05,0.0,0.017451298244519794
Nb,0.05098712197175363,0.00010072464349224,0.0,0.015336426448922984
B,0.04633294694377632,0.00010577021943945655,0.0,0.013942192170908679
Method_Other,0.04633294694377622,3.702179770778763e-05,0.0,0.01391469280221598
Y,0.04194825569292652,7.895026658753992e-05,0.0,0.012616056814512971
Method_annealing,0.03505469276628564,0.002872659957542557,0.0,0.011665471812902714
Co,0.017871438021277063,0.007497610730170578,0.0,0.00836047569845135
N,0.018342831557814267,8.805994944369705e-05,0.0,0.005538073447121759
C,0.0,0.0,0.0,0.0
Ag,0.0,0.0,0.0,0.0
Ge,0.0,0.0,0.0,0.0
Nd,0.0,0.0,0.0,0.0
Ca,0.0,0.0,0.0,0.0
Ga,0.0,0.0,0.0,0.0
W,0.0,0.0,0.0,0.0
Sc,0.0,0.0,0.0,0.0
Re,0.0,0.0,0.0,0.0
Pd,0.0,0.0,0.0,0.0
Ta,0.0,0.0,0.0,0.0
