Ag,Al,B,BCC,C,C11 Elastic Constant (GPa),Ca,Co,Composition,Compressive strength (MPa),Cr,Cu,Cu_Content,Cu_Fe_Ratio,Density (g/cm3),Ductility (%),Elastic Modulus (GPa),FCC,Fe,Fe_Content,Fracture Toughness,Ga,Gd,Ge,HCP,Hardness (HVN),Has_BCC_Phase,Has_FCC_Phase,Has_HCP_Phase,Has_IM_Phase,Hf,IM,Li,Method_Other,Method_Unknown,Method_annealing,Method_arc_melting,Method_as_cast,Method_room_temperature,Method_sintering,Mg,Mn,Mo,N,Nb,Nd,Ni,Num_Crystal_Structures,Num_Elements,Num_Phases,Pb,Pd,Phases present,Plasticity (%) - Compressive,Processing_Temperature_C,Processing_Temperature_K,Re,Sc,Shear Modulus (GPa),Si,Sn,Source,Ta,Test Type,Ti,Total_Composition,Unique ID,V,W,Y,Zn,Zr,doi,σ(MPa) at 1000 C,σ(MPa) at 1200 C
0.0,0.2,0.0,1,0.0,0.0,0.0,0.0,0,3620.0,0.0,0.2,0.2,1.0,0.0,0.0,0.0,0,0.2,0.2,0.0,0.0,0.0,0.0,0,1142.857,1,0,0,0,0.0,0,0.0,False,False,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,5,1.0,0.0,0.0,0,3.04,499.85,773.0,0.0,0.0,0.0,0.0,0.0,https://doi.org/10.1007/s11106-016-9790-3,0.0,0,0.2,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0,0.2,0.0,1,0.0,0.0,0.0,0.0,0,3220.0,0.2,0.2,0.2,1.0,0.0,0.0,0.0,0,0.2,0.2,0.0,0.0,0.0,0.0,0,938.7755,1,0,0,0,0.0,0,0.0,False,False,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,5,1.0,0.0,0.0,0,2.36,499.85,773.0,0.0,0.0,0.0,0.0,0.0,https://doi.org/10.1007/s11106-016-9790-3,0.0,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0,0.0,0.0,1,0.0,0.0,0.0,0.196,0,3012.0,0.196,0.02,0.02,0.1020408163265306,0.0,0.0,0.0,1,0.196,0.196,0.0,0.0,0.0,0.0,0,410.0,1,1,0,0,0.0,0,0.0,False,False,False,True,False,False,False,0.0,0.0,0.196,0.0,0.0,0.0,0.196,2,6,2.0,0.0,0.0,0,51.6,499.85,773.0,0.0,0.0,0.0,0.0,0.0,https://doi.org/10.1016/j.vacuum.2020.109173,0.0,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0,0.152,0.0,1,0.0,0.0,0.0,0.152,0,2820.0,0.152,0.152,0.152,1.0,0.0,0.0,0.0,1,0.152,0.152,0.0,0.0,0.0,0.0,0,410.0,1,1,0,0,0.0,1,0.0,False,False,False,True,False,False,False,0.0,0.0,0.091,0.0,0.0,0.0,0.152,3,7,3.0,0.0,0.0,0,1.4,499.85,773.0,0.0,0.0,0.0,0.0,0.0,https://doi.org/10.1016/j.vacuum.2020.109173,0.0,0,0.0,1.003,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0,0.156,0.0,1,0.0,0.0,0.0,0.156,0,2660.0,0.156,0.156,0.156,1.0,0.0,0.0,0.0,1,0.156,0.156,0.0,0.0,0.0,0.0,0,410.0,1,1,0,0,0.0,1,0.0,False,False,False,True,False,False,False,0.0,0.0,0.062,0.0,0.0,0.0,0.156,3,7,3.0,0.0,0.0,0,1.5,499.85,773.0,0.0,0.0,0.0,0.0,0.0,https://doi.org/10.1016/j.vacuum.2020.109173,0.0,0,0.0,0.998,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0,0.161,0.0,1,0.0,0.0,0.0,0.161,0,2640.0,0.161,0.161,0.161,1.0,0.0,0.0,0.0,1,0.161,0.161,0.0,0.0,0.0,0.0,0,410.0,1,1,0,0,0.0,1,0.0,False,False,False,True,False,False,False,0.0,0.0,0.032,0.0,0.0,0.0,0.161,3,7,3.0,0.0,0.0,0,1.2,499.85,773.0,0.0,0.0,0.0,0.0,0.0,https://doi.org/10.1016/j.vacuum.2020.109173,0.0,0,0.0,0.998,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0,0.167,0.0,0,0.0,0.0,0.0,0.0,0,2630.0,0.0,0.167,0.167,1.0,0.0,0.0,0.0,1,0.167,0.167,0.0,0.0,0.0,0.0,0,618.44,0,1,0,0,0.0,0,0.0,False,False,False,False,False,False,True,0.0,0.167,0.0,0.0,0.0,0.0,0.0,1,6,1.0,0.0,0.0,0,15.83,1050.0,1323.15,0.0,0.0,0.0,0.0,0.0,https://doi.org/10.1016/j.jallcom.2021.163352,0.0,0,0.167,1.002,0,0.167,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0,0.147,0.0,1,0.0,0.0,0.0,0.147,0,2600.0,0.147,0.147,0.147,1.0,0.0,0.0,0.0,1,0.147,0.147,0.0,0.0,0.0,0.0,0,410.0,1,1,0,0,0.0,1,0.0,False,False,False,True,False,False,False,0.0,0.0,0.118,0.0,0.0,0.0,0.147,3,7,3.0,0.0,0.0,0,1.1,499.85,773.0,0.0,0.0,0.0,0.0,0.0,https://doi.org/10.1016/j.vacuum.2020.109173,0.0,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0,0.167,0.0,0,0.0,0.0,0.0,0.0,0,2465.0,0.0,0.167,0.167,1.0,0.0,0.0,0.0,1,0.167,0.167,0.0,0.0,0.0,0.0,0,610.28,0,1,0,0,0.0,0,0.0,False,False,False,False,False,False,True,0.0,0.167,0.0,0.0,0.0,0.0,0.0,1,6,1.0,0.0,0.0,0,12.33,1000.0,1273.15,0.0,0.0,0.0,0.0,0.0,https://doi.org/10.1016/j.jallcom.2021.163352,0.0,0,0.167,1.002,0,0.167,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0,0.167,0.0,0,0.0,0.0,0.0,0.0,0,2420.0,0.0,0.167,0.167,1.0,0.0,0.0,0.0,1,0.167,0.167,0.0,0.0,0.0,0.0,0,597.81,0,1,0,0,0.0,0,0.0,False,False,False,False,False,False,True,0.0,0.167,0.0,0.0,0.0,0.0,0.0,1,6,1.0,0.0,0.0,0,13.42,950.0,1223.15,0.0,0.0,0.0,0.0,0.0,https://doi.org/10.1016/j.jallcom.2021.163352,0.0,0,0.167,1.002,0,0.167,0.0,0.0,0.0,0.0,0,0.0,0.0
