Unique ID,Composition,doi,Phases present,Density (g/cm3),Elastic Modulus (GPa),Compressive strength (MPa),σ(MPa) at 1000 C,σ(MPa) at 1200 C,Shear Modulus (GPa),C11 Elastic Constant (GPa),Fracture Toughness,Ductility (%),Test Type,Al,C,Co,Cr,Cu,Fe,Ga,Gd,Mg,Mn,Mo,Ni,Pb,Ti,V,Zn,Total_Composition,Num_Elements,Cu_Fe_Ratio,Has_FCC_Phase,Has_BCC_Phase,Has_HCP_Phase,Has_IM_Phase,Num_Phases,FCC,BCC,HCP,IM,Source,Hardness (HVN),Plasticity (%) - Compressive,Processing_Temperature_C,Processing_Temperature_K,Num_Crystal_Structures,Ag,B,Ca,Ge,Hf,Li,N,Nb,Nd,Pd,Re,Sc,Si,Sn,Ta,W,Y,Zr,Method_Other,Method_Unknown,Method_annealing,Method_arc_melting,Method_as_cast,Method_room_temperature,Method_sintering,Cu_Content,Fe_Content
6-222426272829-091818181818-000009_1,CoCrCuFeNiTi<sub>0.5</sub>,doi.org/10.1016/j.dib.2018.11.111,FCC,7.8,206.0,700.0,150.0,80.0,80.34,0.0,13.11,15.15,,0.0,0.0,0.19899999999999998,0.19899999999999998,0.19899999999999998,0.19899999999999998,0.0,0.0,0.0,0.0,0.0,0.19899999999999998,0.0,0.005,0.0,0.0,0.9999999999999999,6,1.0,1,0,0,0,1.0,1,0,0,0,https://doi.org/10.1016/j.dib.2018.11.111,410.0,11.3,499.85,773.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,0.19899999999999998,0.19899999999999998
6-222426272829-091818181818-000009_2,CoCrCuFeNiTi<sub>0.5</sub>,doi.org/10.1016/j.dib.2018.11.111,FCC,7.8,198.0,700.0,150.0,80.0,80.34,0.0,13.11,15.15,,0.0,0.0,0.19899999999999998,0.19899999999999998,0.19899999999999998,0.19899999999999998,0.0,0.0,0.0,0.0,0.0,0.19899999999999998,0.0,0.005,0.0,0.0,0.9999999999999999,6,1.0,1,0,0,0,1.0,1,0,0,0,https://doi.org/10.1016/j.dib.2018.11.111,410.0,11.3,499.85,773.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,0.19899999999999998,0.19899999999999998
6-222426272829-131717171717-000009_1,CoCrCuFeNiTi<sub>0.8</sub>,doi.org/10.1016/j.dib.2018.11.111,FCC+Im,7.6,198.0,1042.0,150.0,80.0,80.34,0.0,13.11,15.15,,0.0,0.0,0.1984,0.1984,0.1984,0.1984,0.0,0.0,0.0,0.0,0.0,0.1984,0.0,0.008,0.0,0.0,1.0,6,1.0,1,0,0,1,2.0,1,0,0,1,https://doi.org/10.1016/j.dib.2018.11.111,410.0,11.3,499.85,773.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,0.1984,0.1984
7-13222426272829-00491818181813-000009_1,Al<sub>0.25</sub>CoCrCu<sub>0.75</sub>FeNiTi<sub>0.5</sub>,doi.org/10.1016/j.dib.2018.11.111,FCC,7.5,198.0,750.0,150.0,80.0,80.34,0.0,13.11,15.15,,0.0025,0.0,0.24625,0.24625,0.0075,0.24625,0.0,0.0,0.0,0.0,0.0,0.24625,0.0,0.005,0.0,0.0,0.9999999999999999,7,0.03045685279187817,1,0,0,0,1.0,1,0,0,0,https://doi.org/10.1016/j.dib.2018.11.111,410.0,11.3,499.85,773.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,0.0075,0.24625
6-132426272829-091818181818-000009_1,Al<sub>0.5</sub>CoCrCuFeNi,doi.org/10.1016/j.dib.2018.11.111,,7.6,198.0,388.0,150.0,80.0,80.34,0.0,13.11,15.15,,0.005,0.0,0.19899999999999998,0.19899999999999998,0.19899999999999998,0.19899999999999998,0.0,0.0,0.0,0.0,0.0,0.19899999999999998,0.0,0.0,0.0,0.0,0.9999999999999999,6,1.0,0,0,0,0,1.0,0,0,0,0,https://doi.org/10.1016/j.dib.2018.11.111,410.0,11.3,499.85,773.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,0.19899999999999998,0.19899999999999998
6-132426272829-161616161616-000009_3,AlCoCrCuFeNi,doi.org/10.1016/j.dib.2018.11.111,FCC+BCC,7.1,184.0,1303.0,150.0,80.0,80.34,0.0,13.11,15.15,,0.16666666666666669,0.0,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,0.0,0.0,1.0000000000000002,6,1.0,1,1,0,0,2.0,1,1,0,0,https://doi.org/10.1016/j.dib.2018.11.111,410.0,11.3,499.85,773.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,0.16666666666666669,0.16666666666666669
6-132426272829-281414141414-000009_1,Al<sub>2</sub>CoCrCuFeNi,doi.org/10.1016/j.dib.2018.11.111,FCC+BCC,6.3,170.0,1620.0,150.0,80.0,80.34,0.0,13.11,15.15,,0.02,0.0,0.196,0.196,0.196,0.196,0.0,0.0,0.0,0.0,0.0,0.196,0.0,0.0,0.0,0.0,1.0,6,1.0,1,1,0,0,2.0,1,1,0,0,https://doi.org/10.1016/j.dib.2018.11.111,410.0,11.3,499.85,773.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,0.196,0.196
7-13222426272829-00099181818189-000009_1,Al<sub>0.5</sub>CoCrCu<sub>0.5</sub>FeNiTi<sub>0.5</sub>,doi.org/10.1016/j.dib.2018.11.111,FCC+BCC,7.1,198.0,1580.0,150.0,80.0,80.34,0.0,13.11,15.15,,0.005,0.0,0.24625,0.24625,0.005,0.24625,0.0,0.0,0.0,0.0,0.0,0.24625,0.0,0.005,0.0,0.0,0.9999999999999999,7,0.020304568527918784,1,1,0,0,2.0,1,1,0,0,https://doi.org/10.1016/j.dib.2018.11.111,410.0,11.3,499.85,773.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,0.005,0.24625
7-13222426272829-00139181818184-000009_1,Al<sub>0.75</sub>CoCrCu<sub>0.25</sub>FeNiTi<sub>0.5</sub>,doi.org/10.1016/j.dib.2018.11.111,FCC+BCC,6.8,198.0,1900.0,150.0,80.0,80.34,0.0,13.11,15.15,,0.0075,0.0,0.24625,0.24625,0.0025,0.24625,0.0,0.0,0.0,0.0,0.0,0.24625,0.0,0.005,0.0,0.0,0.9999999999999999,7,0.010152284263959392,1,1,0,0,2.0,1,1,0,0,https://doi.org/10.1016/j.dib.2018.11.111,410.0,11.3,499.85,773.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,0.0025,0.24625
5-1322262729-2222152020-000009_1,Al<sub>1.125</sub>CuFe<sub>0.75</sub>NiTi<sub>1.125</sub>,doi.org/10.1016/j.dib.2018.11.111,FCC,5.9,178.0,980.0,150.0,80.0,80.34,0.0,13.11,15.15,,0.01125,0.0,0.0,0.0,0.485,0.0075,0.0,0.0,0.0,0.0,0.0,0.485,0.0,0.01125,0.0,0.0,0.9999999999999999,5,64.66666666666667,1,0,0,0,1.0,1,0,0,0,https://doi.org/10.1016/j.dib.2018.11.111,410.0,11.3,499.85,773.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,0.485,0.0075
