Composition,Source,Compressive strength (MPa)
AlCuNiFeTi,https://doi.org/10.1007/s11106-016-9790-3,3620.0
AlCuNiFeCr,https://doi.org/10.1007/s11106-016-9790-3,3220.0
CoCrCu0.1FeMoNi,https://doi.org/10.1016/j.vacuum.2020.109173,3012.0
AlCoCrCuFeNiMo0.6,https://doi.org/10.1016/j.vacuum.2020.109173,2820.0
AlCoCrCuFeNiMo0.4,https://doi.org/10.1016/j.vacuum.2020.109173,2660.0
AlCoCrCuFeNiMo0.2,https://doi.org/10.1016/j.vacuum.2020.109173,2640.0
AlCuFeMnTiV,https://doi.org/10.1016/j.jallcom.2021.163352,2630.0
AlCoCrCuFeNiMo0.8,https://doi.org/10.1016/j.vacuum.2020.109173,2600.0
AlCuFeMnTiV,https://doi.org/10.1016/j.jallcom.2021.163352,2465.0
AlCuFeMnTiV,https://doi.org/10.1016/j.jallcom.2021.163352,2420.0
AlCoCrCuFeNiMo0.2,https://doi.org/10.1016/j.vacuum.2020.109173,2240.0
TiZrHfNiCuCo,dx.doi.org/10.1007/s12540-016-6034-5,2091.0
CoCrCu0.8FeMoNi,https://doi.org/10.1016/j.vacuum.2020.109173,1970.0
TiZrHfNiCu,dx.doi.org/10.1007/s12540-016-6034-5,1924.0
CoCrCu0.5FeMoNi,https://doi.org/10.1016/j.vacuum.2020.109173,1900.0
Al0.75CoCrCu0.25FeNiTi0.5,https://doi.org/10.1016/j.dib.2018.11.111,1900.0
Al11.1(CoCrCuFeMnNiTiV)88.9,https://doi.org/10.1016/j.dib.2018.11.111,1862.0
CoCrCu0.3FeMoNi,https://doi.org/10.1016/j.vacuum.2020.109173,1800.0
Co25.0Ni25.0Fe25.0Al7.5Cu17.5,https://doi.org/10.1016/j.vacuum.2022.110930,1795.0
Al0.5CoCrCuFeNiSi0.4,http://dx.doi.org/10.1016/j.jallcom.2014.11.085,1790.0
CuYZrHfAl,dx.doi.org/10.1016/j.matdes.2016.06.100,1751.0
CoCrCuFeMoNi,https://doi.org/10.1016/j.vacuum.2020.109173,1750.0
Al0.9Si0.2CrFeCoNCu0.1,dx.doi.org/10.1016/j.matdes.2015.11.013,1700.0
Al20.0Ti20.0Ni20.0Cu20.0Fe20.0,dx.doi.org/10.1016/j.apsusc.2015.07.207,1670.0
Al0.8Si0.2CrFeCoNCu0.2,dx.doi.org/10.1016/j.matdes.2015.11.013,1650.0
TiZrHfNiCuNb,dx.doi.org/10.1007/s12540-016-6034-5,1646.0
Al2.0CoCrCuFeNi,https://doi.org/10.1016/j.dib.2018.11.111,1620.0
Al20.0Ti20.0Ni20.0Cu20.0Fe20.0,dx.doi.org/10.1016/j.apsusc.2015.07.207,1617.0
Al0.6Si0.2CrFeCoNCu0.4,dx.doi.org/10.1016/j.matdes.2015.11.013,1600.0
Al0.5CoCrCu0.5FeNiTi0.5,https://doi.org/10.1016/j.dib.2018.11.111,1580.0
Al20.0Ti20.0Ni20.0Cu20.0Fe20.0,dx.doi.org/10.1016/j.apsusc.2015.07.215,1569.0
Al22.5Ti22.5Ni20.0Cu20.0Fe15.0,dx.doi.org/10.1016/j.apsusc.2015.07.207,1490.0
