Unique ID,Composition,doi,Phase,ρ (g/cm<sup>3</sup>),E (GPa),σ (MPa) at 23 C,σ(MPa) at 1000 C,σ(MPa) at 1200 C,G (GPa),C11 (GPa),Fracture Toughness,Ductility [%],Test Type
5-2426272829-2020202020-000009_1,CoCrCuFeNi,doi.org/10.1016/j.dib.2018.11.111,FCC,8.3,214,230,,,,,,,
5-2426272829-2020202020-000009_2,CoCrCuFeNi,doi.org/10.1016/j.dib.2018.11.111,FCC,8.3,206,230,,,,,,,
6-222426272829-091818181818-000009_1,CoCrCuFeNiTi<sub>0.5</sub>,doi.org/10.1016/j.dib.2018.11.111,FCC,7.8,206,700,,,,,,,
6-222426272829-091818181818-000009_2,CoCrCuFeNiTi<sub>0.5</sub>,doi.org/10.1016/j.dib.2018.11.111,FCC,7.8,198,700,,,,,,,
6-222426272829-131717171717-000009_1,CoCrCuFeNiTi<sub>0.8</sub>,doi.org/10.1016/j.dib.2018.11.111,FCC+Im,7.6,198,1042,,,,,,,
6-222426272829-161616161616-000009_1,CoCrCuFeNiTi,doi.org/10.1016/j.dib.2018.11.111,FCC,7.4,128,1272,,,,,,,
7-13222426272829-00491818181813-000009_1,Al<sub>0.25</sub>CoCrCu<sub>0.75</sub>FeNiTi<sub>0.5</sub>,doi.org/10.1016/j.dib.2018.11.111,FCC,7.5,198,750,,,,,,,
6-132426272829-091818181818-000009_1,Al<sub>0.5</sub>CoCrCuFeNi,doi.org/10.1016/j.dib.2018.11.111,,7.6,198,388,,,,,,,
6-132426272829-161616161616-000009_1,AlCoCrCuFeNi,doi.org/10.1016/j.dib.2018.11.111,FCC+BCC,7.1,187,950,,,,,,,
6-132426272829-161616161616-000009_3,AlCoCrCuFeNi,doi.org/10.1016/j.dib.2018.11.111,FCC+BCC,7.1,184,1303,,,,,,,
7-13242526272829-14141414141414-000009_1,AlCoCrCuFeMnNi,doi.org/10.1016/j.dib.2018.11.111,FCC+BCC+Im,7.1,183,1005,,,,,,,
7-13222426272829-14141414141414-000009_1,AlCoCrCuFeNiTi,doi.org/10.1016/j.dib.2018.11.111,FCC+BCC,6.6,,1234,,,,,,,
7-13232426272829-14141414141414-000009_1,AlCoCrCuFeNiV,doi.org/10.1016/j.dib.2018.11.111,FCC+BCC,6.9,174,1469,,,,,,,
6-132426272829-281414141414-000009_1,Al<sub>2</sub>CoCrCuFeNi,doi.org/10.1016/j.dib.2018.11.111,FCC+BCC,6.3,170,1620,,,,,,,
7-13222426272829-00099181818189-000009_1,Al<sub>0.5</sub>CoCrCu<sub>0.5</sub>FeNiTi<sub>0.5</sub>,doi.org/10.1016/j.dib.2018.11.111,FCC+BCC,7.1,,1580,,,,,,,
7-13222426272829-00139181818184-000009_1,Al<sub>0.75</sub>CoCrCu<sub>0.25</sub>FeNiTi<sub>0.5</sub>,doi.org/10.1016/j.dib.2018.11.111,FCC+BCC,6.8,,1900,,,,,,,
5-1322262729-2222152020-000009_1,Al<sub>1.125</sub>CuFe<sub>0.75</sub>NiTi<sub>1.125</sub>,doi.org/10.1016/j.dib.2018.11.111,FCC,5.9,178,980,,,,,,,
5-1322262729-2222152020-000009_2,Al<sub>22.5</sub>Cu<sub>20</sub>Fe<sub>15</sub>Ni<sub>20</sub>Ti<sub>22.5</sub>,doi.org/10.1016/j.dib.2018.11.111,FCC,5.9,140,980,,,,,,,
5-1322262729-2020202020-000009_1,AlCuFeNiTi,doi.org/10.1016/j.dib.2018.11.111,FCC,6.1,140,1074,,,,,,,
8-2223242526272829-1212121212121212-000009_1,CoCrCuFeMnNiTiV,doi.org/10.1016/j.dib.2018.11.111,FCC+BCC+Im,7.3,,1312,,,,,,,
9-132223242526272829-000000005855555555-000009_1,Al<sub>11.1</sub>(CoCrCuFeMnNiTiV),doi.org/10.1016/j.dib.2018.11.111,FCC+BCC,6.7,,1862,,,,,,,
9-132223242526272829-000000007133333333-000009_1,Al<sub>20</sub>(CoCrCuFeMnNiTiV)<sub>80</sub>,doi.org/10.1016/j.dib.2018.11.111,BCC,6.1,,1465,,,,,,,
9-132223242526272829-000000008322222222-000009_1,Al<sub>40</sub>(CoCrCuFeMnNiTiV)<sub>60</sub>,doi.org/10.1016/j.dib.2018.11.111,BCC+Im,5.1,,1461,,,,,,,
