original_id,composition,phases,hardness,yield_strength,ultimate_tensile_strength,elongation,compressive_strength,plasticity,processing_notes,doi,FCC,BCC,HCP,IM,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Ge,Hf,Li,Mg,Mn,Mo,N,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr,dataset_source,ρ (g/cm<sup>3</sup>),E (GPa),σ(MPa) at 1000 C,σ(MPa) at 1200 C,G (GPa),C11 (GPa),Fracture Toughness,ductility,Test Type
929,AlCuNiFeTi,BCC,1142.857,,,,3620.0,3.04,Pressure sintered,https://doi.org/10.1007/s11106-016-9790-3,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
928,AlCuNiFeCr,BCC,938.7755,,,,3220.0,2.36,Pressure sintered,https://doi.org/10.1007/s11106-016-9790-3,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
357,CoCrCu0.1FeMoNi,FCC+BCC,,,,,3012.0,51.6,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.196,0.196,0.02,0.196,0.0,0.0,0.0,0.0,0.0,0.0,0.196,0.0,0.0,0.0,0.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
364,AlCoCrCuFeNiMo0.6,FCC+BCC+α,,,,,2820.0,1.4,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1.0,1.0,0.0,1.0,0.0,0.152,0.0,0.0,0.0,0.152,0.152,0.152,0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
363,AlCoCrCuFeNiMo0.4,FCC+BCC+α,,,,,2660.0,1.5,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1.0,1.0,0.0,1.0,0.0,0.156,0.0,0.0,0.0,0.156,0.156,0.156,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
365,AlCoCrCuFeNiMo0.2,FCC+BCC+α,,,,,2640.0,1.2,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1.0,1.0,0.0,1.0,0.0,0.161,0.0,0.0,0.0,0.161,0.161,0.161,0.161,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
524,AlCuFeMnTiV,FCC,618.44,,,,2630.0,15.83,Sintering temperature 1050°C,https://doi.org/10.1016/j.jallcom.2021.163352,1.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
366,AlCoCrCuFeNiMo0.8,FCC+BCC+α,,,,,2600.0,1.1,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1.0,1.0,0.0,1.0,0.0,0.147,0.0,0.0,0.0,0.147,0.147,0.147,0.147,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.0,0.0,0.0,0.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
523,AlCuFeMnTiV,FCC,610.28,,,,2465.0,12.33,Sintering temperature 1000°C,https://doi.org/10.1016/j.jallcom.2021.163352,1.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
522,AlCuFeMnTiV,FCC,597.81,,,,2420.0,13.42,Sintering temperature 950°C,https://doi.org/10.1016/j.jallcom.2021.163352,1.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
362,AlCoCrCuFeNiMo0.2,FCC,,,,,2240.0,3.5,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1.0,0.0,0.0,0.0,0.0,0.161,0.0,0.0,0.0,0.161,0.161,0.161,0.161,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
639,TiZrHfNiCuCo,BCC+Laves,,,,,2091.0,2.26,room temperature under compressive mode at a strain rate of 1×10-3/s,dx.doi.org/10.1007/s12540-016-6034-5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.167,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.167,Cu_Fe_DB.csv,,,,,,,,,
360,CoCrCu0.8FeMoNi,FCC1+FCC2+BCC,,,,,1970.0,18.0,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.172,0.172,0.138,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0.172,0.0,0.0,0.0,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
638,TiZrHfNiCu,Laves,,,,,1924.0,0.39,room temperature under compressive mode at a strain rate of 1×10-3/s,dx.doi.org/10.1007/s12540-016-6034-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,Cu_Fe_DB.csv,,,,,,,,,
359,CoCrCu0.5FeMoNi,FCC1+FCC2+BCC,,,,,1900.0,20.0,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.182,0.091,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.0,0.0,0.0,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
60,Al0.75CoCrCu0.25FeNiTi0.5,FCC + BCC,,,,,1900.0,12.0,,https://doi.org/10.1016/j.dib.2018.11.111,1.0,1.0,0.0,0.0,0.0,0.136,0.0,0.0,0.0,0.182,0.182,0.045,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
152,Al11.1(CoCrCuFeMnNiTiV)88.9,FCC + BCC,,,,,1862.0,1.0,,https://doi.org/10.1016/j.dib.2018.11.111,1.0,1.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.111,0.111,0.111,0.111,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.111,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
358,CoCrCu0.3FeMoNi,FCC+BCC,,,,,1800.0,9.0,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.189,0.189,0.057,0.189,0.0,0.0,0.0,0.0,0.0,0.0,0.189,0.0,0.0,0.0,0.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
426,Co25.0Ni25.0Fe25.0Al7.5Cu17.5,BCC,454.0,,,,1795.0,10.6,SPS,https://doi.org/10.1016/j.vacuum.2022.110930,0.0,1.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.25,0.0,0.175,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
893,Al0.5CoCrCuFeNiSi0.4,FCC+BCC,420.0,,,,1790.0,23.0,,http://dx.doi.org/10.1016/j.jallcom.2014.11.085,1.0,1.0,0.0,0.0,0.0,0.085,0.0,0.0,0.0,0.169,0.169,0.169,0.169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169,0.0,0.0,0.0,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
813,CuYZrHfAl,HCP1+HCP2+BCC,532.0,,,,1751.0,,,dx.doi.org/10.1016/j.matdes.2016.06.100,0.0,1.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,Cu_Fe_DB.csv,,,,,,,,,
361,CoCrCuFeMoNi,FCC1+FCC2+BCC,,,,,1750.0,12.0,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.167,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
927,Al0.9Si0.2CrFeCoNCu0.1,BCC,,,,,1700.0,20.0,,dx.doi.org/10.1016/j.matdes.2015.11.013,0.0,1.0,0.0,0.0,0.0,0.173,0.0,0.0,0.0,0.192,0.192,0.019,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
648,Al20.0Ti20.0Ni20.0Cu20.0Fe20.0,FCC1 + FCC2,365.0,,,,1670.0,5.8,773K annealing,dx.doi.org/10.1016/j.apsusc.2015.07.207,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
926,Al0.8Si0.2CrFeCoNCu0.2,BCC,,,,,1650.0,13.0,,dx.doi.org/10.1016/j.matdes.2015.11.013,0.0,1.0,0.0,0.0,0.0,0.154,0.0,0.0,0.0,0.192,0.192,0.038,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
640,TiZrHfNiCuNb,BCC+Laves,,,,,1646.0,2.47,room temperature under compressive mode at a strain rate of 1×10-3/s,dx.doi.org/10.1007/s12540-016-6034-5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.167,Cu_Fe_DB.csv,,,,,,,,,
58,Al2.0CoCrCuFeNi,FCC + BCC,560.0,,,,1620.0,,,https://doi.org/10.1016/j.dib.2018.11.111,1.0,1.0,0.0,0.0,0.0,0.286,0.0,0.0,0.0,0.143,0.143,0.143,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
649,Al20.0Ti20.0Ni20.0Cu20.0Fe20.0,FCC1 + FCC2,516.0,,,,1617.0,8.2,298K annealing,dx.doi.org/10.1016/j.apsusc.2015.07.207,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
925,Al0.6Si0.2CrFeCoNCu0.4,BCC,,,,,1600.0,8.0,,dx.doi.org/10.1016/j.matdes.2015.11.013,0.0,1.0,0.0,0.0,0.0,0.115,0.0,0.0,0.0,0.192,0.192,0.077,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
59,Al0.5CoCrCu0.5FeNiTi0.5,FCC + BCC,,,,,1580.0,17.0,,https://doi.org/10.1016/j.dib.2018.11.111,1.0,1.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.182,0.182,0.091,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
658,Al20.0Ti20.0Ni20.0Cu20.0Fe20.0,FCC1 + FCC2,544.0,,,,1569.0,13.5,973K annealing,dx.doi.org/10.1016/j.apsusc.2015.07.215,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
652,Al22.5Ti22.5Ni20.0Cu20.0Fe15.0,FCC1 + FCC2,575.0,,,,1490.0,8.5,973K annealing,dx.doi.org/10.1016/j.apsusc.2015.07.207,1.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
