feature,correlation,abs_correlation,p_value
mixing_entropy,0.3894128680842208,0.3894128680842208,1.7479573375786436e-12
num_elements,0.3718531199755697,0.3718531199755697,1.9516513807793225e-11
BCC,0.3595234114636589,0.3595234114636589,9.757641606397601e-11
Ni,-0.33675897297416296,0.33675897297416296,1.596990106103155e-09
Mo,0.2726783113839741,0.2726783113839741,1.3348799271746078e-06
principal_Al,0.2473888322214559,0.2473888322214559,1.2376465177814928e-05
phase_BCC_only,0.245722976324739,0.245722976324739,1.4217390956447457e-05
phase_dual_FCC_BCC,0.2437966224137029,0.2437966224137029,1.6669899041415153e-05
Mn,-0.24325664493239224,0.24325664493239224,1.7426284588468082e-05
G (GPa),-0.23694331578932684,0.23694331578932684,2.9057226787208333e-05
total_phases,0.23541811880298744,0.23541811880298744,3.2809343108766e-05
phase_complex,0.2322545162089835,0.2322545162089835,4.21007247251437e-05
Ti_V_interaction,0.22405947939859502,0.22405947939859502,7.90495726226912e-05
Ti_V_sum,0.2164009817806141,0.2164009817806141,0.00013953391084246683
avg_atomic_radius,0.1931110627710002,0.1931110627710002,0.0006972393196577372
Zn,-0.19179894721950647,0.19179894721950647,0.0007593965033360312
Cr_Co_ratio,0.18947491747209103,0.18947491747209103,0.0008822053528834961
avg_electronegativity,0.18478601381306237,0.18478601381306237,0.0011875215627644604
hardness,0.18061084176114192,0.18061084176114192,0.0015382524164111841
Co,-0.1634139243027935,0.1634139243027935,0.004217181604394526
alloy_type_complex,0.16256905691235318,0.16256905691235318,0.0044209960429843044
alloy_type_quaternary,-0.16256905691235318,0.16256905691235318,0.0044209960429843044
ductility,-0.1609829003956994,0.1609829003956994,0.004827779781262268
E (GPa),-0.16063100282975323,0.16063100282975323,0.004922472532936221
C,0.13893770956354737,0.13893770956354737,0.015171124670813075
Cu_Fe_ratio,-0.12539778336727198,0.12539778336727198,0.028550658828219222
Cr,-0.12508093423759054,0.12508093423759054,0.02895789566568295
ρ (g/cm<sup>3</sup>),-0.11640989799719133,0.11640989799719133,0.04219663877577584
IM,0.11219071547568817,0.11219071547568817,0.05029277599543988
Fracture Toughness,-0.10097274463730195,0.10097274463730195,0.07829346102246003
V,0.09894073121398536,0.09894073121398536,0.08451565226734052
Hf,0.09634685193676855,0.09634685193676855,0.09303011822274052
principal_Cu,-0.09574618227497378,0.09574618227497378,0.09509640279677813
Zr,0.09325755639157919,0.09325755639157919,0.10404968379959618
Sn,-0.09112497004752247,0.09112497004752247,0.11224099986116383
Cr_Co_interaction,-0.08506581779047359,0.08506581779047359,0.13828752708099853
Si,-0.07971757497060444,0.07971757497060444,0.1649233835743309
Li,-0.07302260443980917,0.07302260443980917,0.20346304590702066
Al_Ni_sum,0.06865483366232078,0.06865483366232078,0.23189449387949426
FCC,0.0648347841549897,0.0648347841549897,0.25896973597420536
principal_element_fraction,0.06343714020676042,0.06343714020676042,0.2693998475489565
HCP,0.060171297366905775,0.060171297366905775,0.29487777925520453
Al_Ni_interaction,0.05989159809493053,0.05989159809493053,0.2971321300423671
phase_FCC_only,-0.0569901914091956,0.0569901914091956,0.32119235607007385
atomic_size_difference,0.04945395557349657,0.04945395557349657,0.38942720389438645
Cu,-0.04484411279994203,0.04484411279994203,0.43518745693173083
Ga,-0.04216964877148292,0.04216964877148292,0.4630927496382584
Cu_Fe_sum,-0.04095855678086264,0.04095855678086264,0.4760484862812966
plasticity,-0.037366955216310595,0.037366955216310595,0.5156061048400835
Nb,0.03285147585152159,0.03285147585152159,0.5676439091958394
σ(MPa) at 1000 C,0.03221222510560019,0.03221222510560019,0.5752081067495493
B,-0.02985274768982894,0.02985274768982894,0.6035300466034741
principal_Co,0.02882205533013515,0.02882205533013515,0.6160946329978791
Y,0.027027650426573666,0.027027650426573666,0.6382368737465558
Ti,0.026447068210133262,0.026447068210133262,0.6454716100317056
Cr_Co_sum,0.01271254894154953,0.01271254894154953,0.8250048844881726
N,-0.011818456595841905,0.011818456595841905,0.8371345102530654
Al,0.010523817962558692,0.010523817962558692,0.8547658612389465
Cu_Fe_interaction,0.010110838156767133,0.010110838156767133,0.8604057827518404
Fe,-0.010098227872408744,0.010098227872408744,0.8605781100549671
σ(MPa) at 1200 C,-0.009587371430094763,0.009587371430094763,0.8675647439143752
Mg,-0.0074008705830322236,0.0074008705830322236,0.8975778693204661
principal_Ni,-0.004101309800618758,0.004101309800618758,0.9431331372036117
Al_Ni_ratio,0.0007293090766521931,0.0007293090766521931,0.9898794741620621
yield_strength,,,
ultimate_tensile_strength,,,
elongation,,,
Ag,,,
Ca,,,
Ge,,,
Nd,,,
Pd,,,
Re,,,
Sc,,,
Ta,,,
W,,,
C11 (GPa),,,
alloy_type_binary,,,
alloy_type_ternary,,,
principal_Cr,,,
principal_Fe,,,
